,Data_Set,Iter,Generator_Loss,Discriminator_Loss,Accuracy
0,2,0,0.6709704995155334,1.365248203277588,0.5
1,2,1,0.8346341848373413,1.3477455377578735,0.5
2,2,2,4.480960369110107,1.086036205291748,0.5625
3,2,3,0.30382034182548523,1.116142988204956,0.5625
4,2,4,6.892265796661377,2.2079665660858154,0.5
5,2,5,4.088130474090576,0.9316345453262329,0.6875
6,2,6,0.5560547113418579,0.9155181646347046,0.75
7,2,7,7.441121578216553,0.9074201583862305,0.75
8,2,8,7.169907569885254,0.8335679769515991,0.9375
9,2,9,7.121212005615234,0.8753686547279358,0.875
10,2,10,9.9000244140625,0.8242891430854797,0.9375
11,2,11,3.1180148124694824,1.9706281423568726,0.5
12,2,12,8.888788223266602,0.8577440977096558,0.8125
13,2,13,7.661386489868164,0.8442641496658325,0.8125
14,2,14,6.220263481140137,0.8204283714294434,0.875
15,2,15,4.01730489730835,0.8139240741729736,0.9375
16,2,16,7.1293206214904785,0.8466060161590576,0.875
17,2,17,6.191340446472168,0.8516955971717834,0.8125
18,2,18,8.41227912902832,0.8326582908630371,0.875
19,2,19,6.335452556610107,0.9594345092773438,0.8125
20,2,20,6.77505350112915,0.8607015609741211,0.8125
21,2,21,8.283960342407227,0.8349084258079529,0.875
22,2,22,7.0221428871154785,0.94536292552948,0.8125
23,2,23,9.527044296264648,0.8460384607315063,0.8125
24,2,24,9.04478645324707,0.83692467212677,0.875
25,2,25,5.575404167175293,0.8333653211593628,0.875
26,2,26,9.059186935424805,0.8348414897918701,0.875
27,2,27,6.96596622467041,0.8321084976196289,0.875
28,2,28,11.006927490234375,0.8862890005111694,0.875
29,2,29,7.926795959472656,0.8365001678466797,0.875
30,2,30,2.967653751373291,0.8192710876464844,0.9375
31,2,31,10.255130767822266,0.837984561920166,0.875
32,2,32,6.293408393859863,0.852054238319397,0.875
33,2,33,9.18572998046875,0.841533899307251,0.875
34,2,34,7.7649126052856445,0.8397032022476196,0.875
35,2,35,8.79780387878418,0.8352442383766174,0.875
36,2,36,8.7308988571167,0.8444293737411499,0.875
37,2,37,9.839920043945312,0.8348143100738525,0.875
38,2,38,0.0,26.096372604370117,0.375
39,2,39,0.0,26.105825424194336,0.3125
